epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9035193920135498,0.0010000000474974513,0.5159140825271606,0.5,1.6013602018356323
1,1.0,0.0010000000474974513,0.1912883222103119,0.5,1.572205901145935
2,0.9981796145439148,0.0010000000474974513,0.17068953812122345,0.36944442987442017,3.534834861755371
3,0.8125,0.0010000000474974513,0.6703439354896545,0.2638888955116272,2.8220431804656982
4,0.9975728392601013,0.0010000000474974513,0.15824945271015167,0.4833333194255829,2.2853310108184814
5,1.0,0.0010000000474974513,0.1562916338443756,0.4833333194255829,2.288572072982788
6,0.9872573018074036,0.0005000000237487257,0.1667250543832779,0.6333333253860474,2.0366461277008057
7,0.90625,0.0005000000237487257,0.27168160676956177,0.6333333253860474,1.896880030632019
8,0.9987863898277283,0.0005000000237487257,0.13880980014801025,0.7611111402511597,0.8706556558609009
9,1.0,0.0005000000237487257,0.1459784209728241,0.7611111402511597,0.8758543133735657
10,0.9872573018074036,0.0005000000237487257,0.18372824788093567,0.6194444298744202,1.8453497886657715
11,1.0,0.0005000000237487257,0.12450908124446869,0.6194444298744202,1.866977572441101
12,0.9969660043716431,0.0005000000237487257,0.1360335797071457,0.8861111402511597,1.742035984992981
13,0.875,0.0002500000118743628,0.32043468952178955,0.8861111402511597,1.6205027103424072
14,0.9987863898277283,0.0002500000118743628,0.12184805423021317,1.0,0.11740993708372116
15,1.0,0.0002500000118743628,0.1303984522819519,1.0,0.11730917543172836
16,0.9987863898277283,0.0002500000118743628,0.12103909254074097,1.0,0.11366843432188034
17,1.0,0.0002500000118743628,0.11398237198591232,1.0,0.11360494792461395
18,0.9981796145439148,0.0002500000118743628,0.11716049909591675,1.0,0.11357034742832184
19,1.0,0.0002500000118743628,0.1112053394317627,1.0,0.11344289034605026
20,1.0,0.0002500000118743628,0.11194025725126266,1.0,0.10835792869329453
21,1.0,0.0002500000118743628,0.1090092882514,1.0,0.10829722136259079
22,1.0,0.0002500000118743628,0.10846775770187378,1.0,0.10521921515464783
23,1.0,0.0002500000118743628,0.10821551084518433,1.0,0.10516151785850525
24,0.9969660043716431,0.0002500000118743628,0.112056665122509,1.0,0.10313962399959564
25,1.0,0.0002500000118743628,0.10609516501426697,1.0,0.10310555249452591
26,1.0,0.0002500000118743628,0.1051245927810669,1.0,0.09981051832437515
27,1.0,0.0002500000118743628,0.10050583630800247,1.0,0.09976153075695038
28,1.0,0.0002500000118743628,0.10107748955488205,1.0,0.09703756868839264
29,1.0,0.0002500000118743628,0.09812010079622269,1.0,0.09698296338319778
30,0.990898072719574,0.0002500000118743628,0.14585824310779572,1.0,0.09434235095977783
31,1.0,0.0002500000118743628,0.10249359905719757,1.0,0.0942995622754097
32,1.0,0.0002500000118743628,0.09673008322715759,1.0,0.09190785139799118
33,1.0,0.0002500000118743628,0.0929751992225647,1.0,0.09186092019081116
34,1.0,0.0002500000118743628,0.09319882839918137,1.0,0.08942490816116333
35,1.0,0.0002500000118743628,0.0928221046924591,1.0,0.08937717974185944
36,0.9993932247161865,0.0002500000118743628,0.09150093793869019,1.0,0.08687528222799301
37,1.0,0.0002500000118743628,0.08985381573438644,1.0,0.0868268683552742
38,0.9993932247161865,0.0002500000118743628,0.08911082148551941,1.0,0.08435924351215363
39,1.0,0.0002500000118743628,0.08505269140005112,1.0,0.08431606739759445
40,1.0,0.0002500000118743628,0.08513728529214859,1.0,0.08183100819587708
41,1.0,0.0002500000118743628,0.08194928616285324,1.0,0.08178462833166122
42,1.0,0.0002500000118743628,0.08405926823616028,1.0,0.07936134934425354
43,1.0,0.0002500000118743628,0.08569496870040894,1.0,0.07931746542453766
44,0.9927184581756592,0.0002500000118743628,0.10988715291023254,1.0,0.08690592646598816
45,1.0,0.0002500000118743628,0.08426211029291153,1.0,0.08484811335802078
46,0.9902912378311157,0.0002500000118743628,0.1209980919957161,1.0,0.07492303103208542
47,1.0,0.0002500000118743628,0.07606660574674606,1.0,0.07488004863262177
48,1.0,0.0002500000118743628,0.07789798080921173,1.0,0.07291217148303986
49,1.0,0.0002500000118743628,0.07373286038637161,1.0,0.07287254929542542
