epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3378712832927704,0.0010000000474974513,1.4102809429168701,0.3222222328186035,1.3129117488861084
1,0.5,0.0010000000474974513,1.3437310457229614,0.3222222328186035,1.30960214138031
2,0.3125,0.0010000000474974513,1.3566263914108276,0.2888889014720917,1.2757731676101685
3,0.375,0.0010000000474974513,1.323964238166809,0.2944444417953491,1.2740888595581055
4,0.29826733469963074,0.0010000000474974513,1.2990261316299438,0.3166666626930237,1.2528876066207886
5,0.28125,0.0010000000474974513,1.2913671731948853,0.32777777314186096,1.252120852470398
6,0.3193069398403168,0.0010000000474974513,1.2634670734405518,0.36666667461395264,1.2424216270446777
7,0.34375,0.0010000000474974513,1.279671549797058,0.35555556416511536,1.241855502128601
8,0.301980197429657,0.0010000000474974513,1.2616313695907593,0.3055555522441864,1.235320806503296
9,0.34375,0.0010000000474974513,1.2041200399398804,0.3222222328186035,1.240228533744812
10,0.34254807233810425,0.0010000000474974513,1.23811936378479,0.3055555522441864,1.231016993522644
11,0.125,0.0010000000474974513,1.249112606048584,0.3055555522441864,1.230032205581665
12,0.3143564462661743,0.0010000000474974513,1.2312685251235962,0.3222222328186035,1.2157713174819946
13,0.40625,0.0010000000474974513,1.1956629753112793,0.3222222328186035,1.21598219871521
14,0.35272276401519775,0.0010000000474974513,1.2082695960998535,0.3222222328186035,1.2150484323501587
15,0.25,0.0010000000474974513,1.1929997205734253,0.3222222328186035,1.2159533500671387
16,0.34282177686691284,0.0010000000474974513,1.2059112787246704,0.32777777314186096,1.1931605339050293
17,0.4375,0.0010000000474974513,1.1872323751449585,0.3222222328186035,1.194643259048462
18,0.32673266530036926,0.0010000000474974513,1.1963533163070679,0.31111112236976624,1.2195407152175903
19,0.28125,0.0010000000474974513,1.1985995769500732,0.3055555522441864,1.2227346897125244
20,0.3217821717262268,0.0010000000474974513,1.1916911602020264,0.3222222328186035,1.2263072729110718
21,0.1875,0.0005000000237487257,1.1941865682601929,0.3222222328186035,1.2226951122283936
22,0.3292079269886017,0.0005000000237487257,1.1841132640838623,0.3222222328186035,1.1824166774749756
23,0.25,0.0005000000237487257,1.1825975179672241,0.3222222328186035,1.18357515335083
24,0.32673266530036926,0.0005000000237487257,1.1773298978805542,0.3222222328186035,1.2033400535583496
25,0.34375,0.0005000000237487257,1.1717973947525024,0.3222222328186035,1.202882170677185
26,0.31683167815208435,0.0005000000237487257,1.1745779514312744,0.3222222328186035,1.1808840036392212
27,0.375,0.0005000000237487257,1.1587600708007812,0.3222222328186035,1.1817511320114136
28,0.3205445408821106,0.0005000000237487257,1.1716617345809937,0.3222222328186035,1.2124701738357544
29,0.4375,0.0005000000237487257,1.1675902605056763,0.3222222328186035,1.2086658477783203
30,0.3304455578327179,0.0005000000237487257,1.1667736768722534,0.3222222328186035,1.207214593887329
31,0.3125,0.0002500000118743628,1.1699917316436768,0.3222222328186035,1.206687331199646
32,0.3366336524486542,0.0002500000118743628,1.1657041311264038,0.3222222328186035,1.2098685503005981
33,0.34375,0.0002500000118743628,1.164374828338623,0.3222222328186035,1.21047043800354
34,0.34282177686691284,0.0002500000118743628,1.1644179821014404,0.3222222328186035,1.2071139812469482
